37.5070075989	40.3171615601	27.1347332001	37.5070075989	40.3171615601	27.1347332001	37.5070075989	40.3171615601	27.1347351074
41.5421257019	40.4239578247	52.6316490173	41.5421257019	40.4239578247	52.6316490173	41.5421257019	40.4239578247	52.6316490173
39.2521667480	41.9755363464	83.2519836426	39.2521667480	41.9755363464	83.2519836426	39.2521667480	41.9755363464	83.2519836426
41.2303504944	38.3734779358	86.4641876221	41.2303504944	38.3734779358	86.4641876221	41.2303504944	38.3734779358	86.4641876221
41.0518569946	40.0671234131	36.9082908630	41.0518569946	40.0671234131	36.9082908630	41.0518569946	40.0671234131	36.9082908630
37.5760688782	37.9588966370	42.3484001160	37.5760688782	37.9588966370	42.3484001160	37.5760688782	37.9588966370	42.3484001160
38.2378158569	38.3325843811	97.9783477783	38.2378158569	38.3325843811	97.9783477783	38.2378158569	38.3325843811	97.9783477783
39.7283554077	38.0958862305	10.1247043610	39.7283554077	38.0958862305	10.1247043610	39.7283592224	38.0958824158	10.1247043610
37.5462036133	39.3896903992	57.2084159851	37.5462036133	39.3896903992	57.2084159851	37.5462036133	39.3896903992	57.2084159851
40.3551864624	40.5066184998	64.0432586670	40.3551864624	40.5066184998	64.0432586670	40.3551864624	40.5066184998	64.0432586670
38.3320999146	40.8132247925	50.0932693481	38.3320999146	40.8132247925	50.0932693481	38.3320960999	40.8132247925	50.0932693481
39.2612648010	37.7885475159	64.0871810913	39.2612648010	37.7885475159	64.0871810913	39.2612648010	37.7885475159	64.0871810913
41.4150276184	41.5095787048	56.1566314697	41.4150276184	41.5095787048	56.1566314697	41.4150276184	41.5095787048	56.1566314697
39.0101280212	41.8754959106	74.6023025513	39.0101280212	41.8754959106	74.6023025513	39.0101280212	41.8754959106	74.6023025513
42.2771568298	42.1241607666	57.9027061462	42.2771568298	42.1241607666	57.9027061462	42.2771568298	42.1241607666	57.9027061462
38.2123069763	39.8100776672	30.8927097321	38.2123069763	39.8100776672	30.8927097321	38.2123069763	39.8100814819	30.8927097321
41.8066673279	38.5501594543	79.3546600342	41.8066673279	38.5501594543	79.3546600342	41.8066673279	38.5501594543	79.3546600342
41.7187118530	42.4794921875	98.9783554077	41.7187118530	42.4794921875	98.9783554077	41.7187118530	42.4794921875	98.9783630371
40.5569419861	39.4622230530	33.6015357971	40.5569419861	39.4622230530	33.6015357971	40.5569419861	39.4622230530	33.6015357971
38.9865646362	41.6993141174	11.8573532104	38.9865646362	41.6993141174	11.8573532104	38.9865646362	41.6993141174	11.8573532104
39.3796615601	37.9664955139	70.2443542480	39.3796615601	37.9664955139	70.2443542480	39.3796615601	37.9664955139	70.2443542480
37.7850761414	37.5504417419	91.7314758301	37.7850761414	37.5504417419	91.7314758301	37.7850761414	37.5504417419	91.7314758301
38.8798789978	38.8656311035	62.2966537476	38.8798789978	38.8656311035	62.2966537476	38.8798789978	38.8656311035	62.2966537476
40.9541549683	41.6818046570	74.5865936279	40.9541549683	41.6818046570	74.5865936279	40.9541549683	41.6818046570	74.5865936279
39.9234123230	38.5298690796	76.1209106445	39.9234123230	38.5298690796	76.1209106445	39.9234123230	38.5298690796	76.1209106445
39.8426895142	39.7895050049	94.4298171997	39.8426895142	39.7895050049	94.4298171997	39.8426895142	39.7895050049	94.4298171997
41.2207221985	38.0447654724	63.3006439209	41.2207221985	38.0447654724	63.3006439209	41.2207221985	38.0447654724	63.3006439209
39.4263648987	41.1717109680	64.2015228271	39.4263648987	41.1717109680	64.2015228271	39.4263648987	41.1717109680	64.2015228271
